book_id,author_id,category_id,cover,created_at,description,is_free,is_member_only,is_published,isbn,price,publish_date,publisher,rating,read_count,tags,title,updated_at,word_count
54,49,1,54_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2019-01-31T16:00:00+00:00,南京大学出版社,0,0,,世间万物：与植物、星辰、动物的相遇（守望者·物灵）（献给孩子和恋人的睡前小书，充满好奇心的科普故事集。 它将唤起我们与所爱之人交流世界的渴望。 BBC广播四台、美国独立书商协会、《卫报》 《赫芬顿邮报》一致推荐！）,2026-01-11 17:16:57,71329
55,50,1,55_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787521705072,0,2019-06-30T16:00:00+00:00,中信出版集团,0,0,,为什么,2026-01-11 17:16:57,65188
56,47,1,56_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2020-06-30 16:00:00+00:00,,0,0,,人体简史（你的身体30亿岁了！《万物简史》作者比尔·布莱森重磅新书！一部从头讲到脚、从里讲到外、从30亿年前讲到今天的人体百科全书！）,2026-01-11 17:16:57,123421
57,51,1,57_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787571019075,0,2022-12-31T16:00:00+00:00,湖南科学技术出版社,0,0,,你想飞吗，像鸟一样？（现象级科普读物《自私的基因》的作者理查德·道金斯重磅新作 ）,2026-01-11 17:16:57,10765
58,52,1,58_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2017-08-31T16:00:00+00:00,江西科学技术出版社,0,0,,你是你吃出来的：吃对少生病，病了这样吃,2026-01-11 17:16:57,118671
59,53,1,59_cover.jpeg,2026-01-11 17:16:57,<p>kindle by 笨笨的铲屎官。</p>,true,false,true,,0,0101-01-01T00:00:00+00:00,,0,0,,别闹了，费曼先生,2026-01-11 17:16:57,149869
60,54,1,60_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2020-09-30T16:00:00+00:00,重庆出版社,0,0,,加来道雄科普系列（套装全5册）【“物理学超弦理论”奠基人、美国著名高等学府加州大学伯克利分校物理学博士、纽约城市大学理论物理学教授 加来道雄作品！堪与《时间简史》媲美，穿越宇宙空间】,2026-01-11 17:16:57,101565
61,55,1,61_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787108010056,0,1997-03-31T16:00:00+00:00,生活·读书·新知三联书店,0,0,,复杂,2026-01-11 17:16:57,20497
62,56,1,62_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2019-12-05T16:00:00+00:00,,0,0,,大图景：论生命的起源、意义和宇宙本身（一场宇宙的奇妙发现之旅，了解宇宙的整体图景，思考宇宙与人的未来。卡洛·罗韦利推荐）,2026-01-11 17:16:57,186697
63,57,1,63_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2021-03-01T16:00:00+00:00,Amazon,0,0,,大师写给你的科学通识课：通俗天文学+物种起源+自然史+几何原本+从一到无穷大+相对论（畅销全球百年经典！西蒙·纽康、查尔斯·达尔文、布封、欧几里得、爱因斯坦、乔治•伽莫夫大师级作品）,2026-01-11 17:16:57,160895
64,58,1,64_cover.jpg,2026-01-11 17:16:57,,true,false,true,,0,2021-10-05,北京华章图文信息有限公司,0,0,,奇点临近,2026-01-11 17:16:57,179882
65,59,1,65_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2022-05-31T16:00:00+00:00,,0,0,,它们的性(牛津大学博士王大可带给你一本姿势搞笑、观点硬核的人文科普，建立新知，颠覆常识！让你在莞尔和大笑中思考人类！),2026-01-11 17:16:57,74005
66,60,1,66_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2022-02-13T16:00:00+00:00,,0,0,,寄生虫星球（站在食物链顶点，寄生虫操控着进化……人类其实一直生活在寄生虫统治的阴影下）,2026-01-11 17:16:57,167252
67,61,1,67_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2016-11-01,,0,0,,当呼吸化为空气,2026-01-11 17:16:57,39122
68,62,1,68_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787521723298,0,2020-12-31T16:00:00+00:00,中信出版集团,0,0,,微积分的力量（从宇宙的深奥谜题，到科技的发明创造，再到日常的衣食住行，微积分的力量无处不在。教师、学生、你和我，都会因为这本书而受益匪浅。）,2026-01-11 17:16:57,94871
69,63,1,69_cover.jpeg,2026-01-11 17:16:57,,true,false,true,,0,2023-06-21T16:00:00+00:00,,0,0,,成瘾,2026-01-11 17:16:57,66296
70,64,1,70_cover.jpg,2026-01-11 17:16:57,,true,false,true,,0,2018-05-09,,0,0,,我们为什么会生病,2026-01-11 17:16:57,90786
71,65,1,71_cover.jpeg,2026-01-11 17:16:57,,true,false,true,9787559648600,0,2021-02-28T16:00:00+00:00,北京：北京联合出版公司,0,0,,我们为什么要睡觉（让比尔•盖茨决定放下工作，好好睡觉！《纽约时报》畅销书排行榜NO.1，全球公认殿堂级睡眠百科全书，全景解析睡梦秘境，轻松摆脱睡眠问题！后浪出品）,2026-01-11 17:16:57,85325
